code,company_name
3612,(株)ワールド
6351,(株)鶴見製作所
5161,西川ゴム工業(株)
6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ(株)
6957,(株)芝浦電子
6996,ニチコン(株)
7575,日本ライフライン(株)
2733,(株)あらた
6016,(株)ジャパンエンジンコーポレーション
9010,富士急行(株)
7943,ニチハ(株)
4028,石原産業(株)
4384,ラクスル(株)
1982,日比谷総合設備(株)
6727,(株)ワコム
5842,インテグラル(株)
3240,野村不動産レジデンシャル投資法人
6376,日機装(株)
8117,中央自動車工業(株)
7718,スター精密(株)
3101,東洋紡(株)
7322,(株)三十三フィナンシャルグループ
7350,(株)おきなわフィナンシャルグループ
5440,共英製鋼(株)
7177,ＧＭＯフィナンシャルホールディングス(株)
8337,(株)千葉興業銀行
6104,芝浦機械(株)
3001,片倉工業(株)
6080,Ｍ＆Ａキャピタルパートナーズ(株)
6183,(株)ベルシステム２４ホールディングス
4559,ゼリア新薬工業(株)
