rank,code,company_name,market_cap,scrape_date
425,3249,産業ファンド投資法人,372570,2025-12-07
426,4205,日本ゼオン(株),370126,2025-12-07
427,6592,マブチモーター(株),367256,2025-12-07
428,1662,石油資源開発(株),366483,2025-12-07
429,2206,江崎グリコ(株),364937,2025-12-07
430,9418,(株)Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,360751,2025-12-07
431,6324,(株)ハーモニック・ドライブ・システムズ,359738,2025-12-07
432,5463,丸一鋼管(株),356706,2025-12-07
433,4631,ＤＩＣ(株),355887,2025-12-07
434,4516,日本新薬(株),352873,2025-12-07
435,6432,(株)竹内製作所,352303,2025-12-07
436,9409,(株)テレビ朝日ホールディングス,350006,2025-12-07
437,5032,ＡＮＹＣＯＬＯＲ(株),348748,2025-12-07
438,5741,(株)ＵＡＣＪ,348573,2025-12-07
439,1949,住友電設(株),347093,2025-12-07
440,7419,(株)ノジマ,346820,2025-12-07
441,4202,(株)ダイセル,346625,2025-12-07
442,9045,京阪ホールディングス(株),345765,2025-12-07
443,8976,大和証券オフィス投資法人,344921,2025-12-07
444,5805,ＳＷＣＣ(株),344644,2025-12-07
445,8410,(株)セブン銀行,343179,2025-12-07
446,417A,(株)ブルーゾーンホールディングス,342275,2025-12-07
447,5471,大同特殊鋼(株),340421,2025-12-07
448,3309,積水ハウス・リート投資法人,336570,2025-12-07
449,8174,日本瓦斯(株),336169,2025-12-07
450,6134,(株)ＦＵＪＩ,336025,2025-12-07
451,8304,(株)あおぞら銀行,335355,2025-12-07
452,6728,(株)アルバック,335077,2025-12-07
453,1719,安藤ハザマ,333170,2025-12-07
454,8129,東邦ホールディングス(株),333144,2025-12-07
455,8570,イオンフィナンシャルサービス(株),332872,2025-12-07
456,3387,(株)クリエイト・レストランツ・ホールディングス,331565,2025-12-07
457,8358,スルガ銀行(株),331391,2025-12-07
458,3279,アクティビア・プロパティーズ投資法人,329833,2025-12-07
459,1980,ダイダン(株),327262,2025-12-07
460,9069,センコーグループホールディングス(株),327139,2025-12-07
461,2264,森永乳業(株),324124,2025-12-07
462,3226,三井不動産アコモデーションファンド投資法人,323984,2025-12-07
463,7762,シチズン時計(株),322998,2025-12-07
464,2296,伊藤ハム米久ホールディングス(株),322412,2025-12-07
465,4686,(株)ジャストシステム,322408,2025-12-07
